second,replicas
0,1
5,1
10,4
15,4
21,4
26,4
31,4
36,4
41,3
46,3
51,3
56,3
61,3
67,2
72,2
77,2
82,2
87,2
92,2
97,1
102,1
107,1
112,1
117,1
123,1
128,1
133,1
138,1
143,1
148,4
153,4
158,3
163,3
168,3
174,3
179,3
184,3
189,2
194,2
199,2
204,2
209,3
214,3
219,3
225,3
230,3
235,4
240,4
245,4
250,3
255,3
261,3
267,3
272,3
277,3
282,3
288,3
293,3
298,3
303,6
308,6
314,6
319,6
324,6
329,6
334,6
340,6
345,6
350,6
355,6
360,6
366,6
371,6
376,6
381,6
386,6
391,6
396,6
401,6
407,6
412,6
417,6
422,6
427,6
433,6
438,6
443,6
448,6
453,6
458,6
463,6
469,6
474,6
479,6
484,6
489,6
494,6
499,6
504,6
510,6
515,6
520,6
525,6
530,6
535,6
540,6
545,6
551,6
556,6
561,6
566,6
571,6
576,6
581,6
586,6
591,6
597,6
602,6
607,6
612,6
617,6
622,6
627,6
632,6
637,6
643,6
648,6
653,6
658,6
663,6
668,6
674,6
679,6
684,6
689,6
694,6
700,6
705,6
710,6
715,6
720,6
725,6
730,6
736,6
741,6
746,6
751,6
756,6
761,6
766,6
771,6
777,6
782,6
787,6
792,6
797,6
802,6
807,6
812,6
817,6
823,6
828,6
833,6
838,6
843,5
848,5
854,5
859,6
864,6
869,6
874,6
880,6
885,6
890,6
895,6
900,6
906,6
911,6
916,6
921,6
926,6
931,6
936,6
941,6
946,6
952,6
957,6
962,5
967,5
972,6
977,6
982,6
987,6
992,6
998,6
1003,6
1008,6
1013,6
1018,6
1023,6
1029,6
1034,6
1039,6
1044,6
1049,6
1054,6
1060,6
1065,6
1070,6
1075,6
1080,6
1085,6
1090,6
1096,6
1101,6
1106,6
1111,6
1116,6
1121,6
1126,6
1132,6
1137,6
1142,6
1147,6
1152,6
1157,6
1163,6
1168,6
1173,6
1178,6
1183,6
1189,6
1194,6
1199,6
1204,6
1210,6
1215,6
1220,6
1225,6
1231,6
1236,6
