second,p99_latency
0,0.226
5,0.283
12,0.37
17,0.37
22,0.37
27,0.37
32,0.3
37,0.245
42,0.229
48,0.229
53,0.19
58,0.192
64,0.192
69,0.204
75,0.204
80,0.203
85,0.191
90,0.184
95,0.184
101,0.201
106,0.202
111,0.201
116,0.284
123,0.284
130,0.277
136,0.277
144,0.234
151,0.234
156,0.234
161,0.234
166,0.209
172,0.209
177,0.198
182,0.192
187,0.193
192,0.193
197,0.307
203,0.307
210,0.267
215,0.227
221,0.228
226,0.228
231,0.238
237,0.23
242,0.238
247,0.23
252,0.233
257,0.231
263,0.231
268,
276,
284,
292,
300,
308,
316,
324,
332,
340,
348,
356,
364,
372,
380,
388,
396,
404,
412,
420,
428,
436,
444,
452,
460,
468,
476,
484,
492,
500,
508,
516,
524,
532,
540,
548,
556,
564,
572,
580,
589,
597,
605,
613,
621,
629,
637,
645,
653,
661,
669,
677,
685,
693,
701,
709,
717,
725,
733,
741,
749,
757,
765,
773,
781,
789,
797,
805,
813,
821,
829,
837,
845,
853,
861,
869,
877,
885,
893,
901,
909,
917,
925,
933,
941,
949,
957,
965,
973,
981,
989,
997,
1005,
1013,
1021,
1029,
1037,
1046,
1054,
1062,
1070,
1078,
1086,
1094,
1102,
1110,
1118,
1126,
1134,
1142,
1150,
1158,
1166,
1174,
1182,
1190,
1198,
1206,
1214,
1222,
1230,
1238,0.183
