second,replicas
0,1
5,1
10,1
15,2
21,2
26,2
31,3
36,3
41,2
46,2
51,2
56,2
61,2
66,2
71,2
76,3
82,3
87,3
92,3
97,3
102,2
107,2
112,2
117,2
122,2
127,2
132,3
138,5
143,5
148,4
153,4
158,4
163,4
168,4
173,4
178,3
184,3
189,3
194,3
199,3
204,3
209,2
214,2
219,2
224,3
229,3
234,3
240,2
245,2
250,2
255,2
260,2
266,2
271,5
276,5
282,5
287,5
292,5
297,5
302,5
307,6
312,6
317,6
323,6
328,6
334,6
339,6
344,6
349,6
354,6
359,6
364,6
370,6
375,6
380,6
385,6
390,6
395,6
400,6
406,6
411,6
416,6
421,6
426,6
432,6
437,6
442,6
447,6
452,6
457,6
462,6
467,6
472,6
478,6
483,6
488,6
493,6
498,6
503,6
508,6
513,6
518,6
523,6
529,6
534,6
539,6
544,6
549,6
554,6
560,6
565,6
570,6
575,6
580,6
585,6
591,6
596,6
601,6
606,6
611,6
617,6
622,6
627,6
632,6
637,6
642,6
647,6
652,6
657,6
663,6
668,6
673,6
678,6
683,6
688,6
693,6
698,6
703,6
709,6
714,6
719,6
724,6
729,6
734,6
739,6
744,6
749,6
754,6
759,6
765,6
770,6
775,6
780,6
785,6
790,6
795,6
800,6
806,6
811,6
816,6
821,6
826,6
831,6
836,6
841,6
846,6
851,6
857,6
862,6
867,6
872,6
877,5
882,6
887,6
892,6
897,6
902,6
908,6
913,6
918,6
923,6
928,6
933,6
938,6
943,6
948,6
954,6
959,6
964,6
969,6
974,6
979,6
984,6
989,6
994,6
999,6
1005,6
1010,6
1015,6
1020,6
1025,6
1030,6
1035,6
1040,6
1045,6
1051,6
1056,6
1061,6
1066,6
1071,6
1076,6
1081,6
1086,6
1091,6
1097,6
1102,6
1107,6
1112,6
1117,6
1122,6
1127,6
1132,6
1137,6
1143,6
1148,6
1153,6
