second,replicas
0,1
5,1
10,1
15,1
21,1
26,1
31,1
36,1
41,1
46,1
51,1
56,1
61,1
66,1
72,1
77,1
82,1
87,1
92,1
97,1
102,1
107,1
112,2
118,2
123,2
128,2
133,2
138,2
143,2
148,2
153,2
158,2
164,2
169,2
174,2
179,2
184,2
189,2
194,2
199,2
204,2
210,2
215,2
220,2
225,2
230,2
235,2
240,2
245,2
250,2
255,2
261,2
266,2
271,2
276,2
281,2
286,2
291,2
298,2
303,2
309,2
314,2
319,2
324,2
329,2
335,2
340,2
345,2
350,2
355,2
360,2
365,2
371,2
376,2
381,2
386,2
391,2
396,2
401,2
406,2
412,2
417,2
422,2
427,2
434,2
439,2
444,2
449,2
454,2
460,2
465,2
470,2
475,2
480,2
485,2
490,2
496,2
501,2
506,2
511,2
516,2
521,2
526,2
532,2
537,2
542,2
547,2
552,2
557,2
562,2
567,2
572,2
578,2
583,2
588,2
593,2
598,2
603,2
608,2
613,2
618,2
624,2
629,2
634,2
639,2
644,2
649,2
654,2
659,2
665,2
670,2
675,2
680,2
685,2
690,2
695,2
700,2
706,2
711,2
716,2
721,2
726,2
731,2
736,2
741,2
746,2
752,2
757,2
762,2
767,2
772,2
777,2
782,2
787,2
792,2
798,2
803,2
808,2
813,2
818,2
823,2
828,2
833,2
839,2
844,2
849,2
854,2
859,2
864,2
869,2
874,2
879,2
885,2
890,2
895,2
900,2
905,2
910,2
915,2
921,2
926,2
931,2
936,2
941,2
946,2
951,2
956,2
961,2
966,2
972,2
977,2
982,2
987,2
992,2
997,2
1002,2
1007,2
1013,2
1018,2
1023,2
1028,2
1033,2
1038,2
1043,2
1048,2
1054,2
1059,2
1064,2
1069,2
1074,2
1079,2
1084,2
1089,2
1094,2
1100,2
1105,2
1110,2
1115,2
1120,2
1125,2
1130,2
1135,2
1141,2
1146,2
1151,2
1156,2
1161,2
1166,2
1171,2
1176,2
1182,2
1187,2
1192,2
1197,2
1202,2
1207,2
1212,2
1217,2
1223,2
1228,2
1233,2
1238,2
1243,2
1248,2
1253,2
1258,2
1263,2
1269,2
