second,p99_latency
0,0.283
5,0.381
11,0.381
16,
24,
32,
40,
48,
56,
64,
72,
80,
88,
96,
104,
112,0.388
120,0.377
128,
136,
144,
152,0.346
160,0.379
166,
174,0.323
181,0.357
188,0.403
195,0.403
200,0.387
205,0.374
213,0.334
220,
228,0.374
235,0.349
242,
250,0.33
258,
266,
275,
283,
291,
299,
307,
315,
323,
331,
340,
348,
356,
364,
372,
380,
388,
396,
404,
412,
421,
429,
437,
445,
453,
461,
469,
477,
485,
493,
501,
509,
517,
525,
533,
542,
550,
558,
566,
574,
582,
590,
598,
606,
614,
622,
630,
638,
646,
654,
662,
670,
678,
686,
694,
702,
710,
718,
726,
734,
742,
750,
758,
766,
774,
782,
790,
798,
806,
814,
822,
830,
838,
846,
854,
862,
870,
878,
886,
894,
902,
910,
918,
926,
934,
942,
950,
958,
966,
974,
982,
990,
998,
1006,
1014,
1022,
1030,
1038,
1046,
1054,
1062,
1070,
1078,
1086,
1094,
1102,
1111,
1119,
1127,
1135,
1143,
1151,
1159,
1167,
1175,
1183,
1191,
1199,
1207,
1215,
1223,
1231,
1239,
1247,
1255,
1263,
1271,0.287
