second,replicas
0,1
5,1
10,1
15,1
20,1
26,1
31,1
36,1
41,1
46,1
51,1
56,1
61,1
67,1
72,1
77,1
82,1
87,1
92,1
97,1
102,1
107,1
112,1
118,1
123,1
128,1
133,1
138,1
143,1
148,1
153,1
158,1
164,1
169,1
174,1
179,1
184,1
189,1
194,1
199,1
204,1
210,1
215,1
220,1
225,1
230,1
235,1
240,1
245,1
250,1
256,1
261,1
266,1
271,1
276,1
281,1
286,1
291,1
297,1
302,1
307,1
312,1
317,1
323,1
328,1
333,1
338,1
343,1
348,1
353,1
359,1
364,1
369,1
374,1
379,1
384,1
390,1
395,1
400,1
405,1
410,1
415,1
420,1
426,1
431,1
436,1
441,1
446,1
451,1
457,1
462,1
467,1
472,1
477,1
482,1
487,1
492,1
497,1
502,1
507,1
513,1
518,1
523,1
528,1
533,1
538,1
543,1
548,1
554,1
559,1
564,1
569,1
574,1
579,1
584,1
589,1
595,1
600,1
605,1
610,1
615,1
620,1
625,1
631,1
636,1
641,1
646,1
651,1
656,1
662,1
667,1
672,1
677,1
682,1
688,1
693,1
698,1
703,1
708,1
713,1
719,1
724,1
729,1
734,1
739,1
744,1
749,1
755,1
760,1
765,1
770,1
775,1
780,1
785,1
791,1
796,1
801,1
806,1
811,1
816,1
821,1
826,1
832,1
837,1
842,1
847,1
852,1
857,1
862,1
867,1
872,1
878,1
883,1
888,1
893,1
898,1
903,1
909,1
914,1
919,1
924,1
929,1
934,1
939,1
945,1
950,1
955,1
960,1
965,1
970,1
975,1
981,1
986,1
991,1
996,1
1001,1
1006,1
1011,1
1016,1
1022,1
1027,1
1032,1
1037,1
1042,1
1047,1
1052,1
1057,1
1063,1
1068,1
1073,1
1078,1
1083,1
1088,1
1093,1
1098,1
1103,1
1109,1
1114,1
1119,1
1124,1
1129,1
1134,1
1139,1
1144,1
1149,1
1155,1
1160,1
1165,1
1170,1
1175,1
1180,1
1185,1
1190,1
1195,1
1200,1
1206,1
1211,1
1216,1
1221,1
1226,1
1231,1
1236,1
1242,1
1247,1
1252,1
1257,1
1262,1
1267,1
1272,1
1277,1
1283,1
1288,1
1293,1
1298,1
1303,1
1308,1
1313,1
1318,1
1324,1
1329,1
1334,1
1339,1
1344,1
1349,1
1354,1
1359,1
1365,1
1370,1
1375,1
1380,1
1385,1
1390,1
1395,1
1400,1
1406,1
1411,1
1416,1
1421,1
1426,1
1431,1
1437,1
1442,1
1447,1
1452,1
1457,1
1462,1
1467,1
1472,1
1478,1
1483,1
1488,1
1493,1
1498,1
